year,series,volume,type,y2030,y2050,y2100,lohi
2055,中国,24.85,seriesval,0,0,0,0
2056,中国,24.9,seriesval,0,0,0,0
2057,中国,24.94,seriesval,0,0,0,0
2058,中国,24.99,seriesval,0,0,0,0
2059,中国,25.04,seriesval,0,0,0,0
2060,中国,25.09,seriesval,0,0,0,0
2061,中国,25.14,seriesval,0,0,0,0
2062,中国,25.19,seriesval,0,0,0,0
2063,中国,25.24,seriesval,0,0,0,0
2064,中国,25.29,seriesval,0,0,0,0
2065,中国,25.34,seriesval,0,0,0,0
2066,中国,25.39,seriesval,0,0,0,0
2067,中国,25.44,seriesval,0,0,0,0
2068,中国,25.49,seriesval,0,0,0,0
2069,中国,25.53,seriesval,0,0,0,0
2070,中国,25.58,seriesval,0,0,0,0
2071,中国,25.63,seriesval,0,0,0,0
2072,中国,25.68,seriesval,0,0,0,0
2073,中国,25.73,seriesval,0,0,0,0
2074,中国,25.78,seriesval,0,0,0,0
2075,中国,25.83,seriesval,0,0,0,0
2076,中国,25.88,seriesval,0,0,0,0
2077,中国,25.93,seriesval,0,0,0,0
2078,中国,25.98,seriesval,0,0,0,0
2079,中国,26.03,seriesval,0,0,0,0
2080,中国,26.08,seriesval,0,0,0,0
2081,中国,26.13,seriesval,0,0,0,0
2082,中国,26.17,seriesval,0,0,0,0
2083,中国,26.22,seriesval,0,0,0,0
2084,中国,26.27,seriesval,0,0,0,0
2085,中国,26.32,seriesval,0,0,0,0
2086,中国,26.37,seriesval,0,0,0,0
2087,中国,26.42,seriesval,0,0,0,0
2088,中国,26.47,seriesval,0,0,0,0
2089,中国,26.52,seriesval,0,0,0,0
2090,中国,26.57,seriesval,0,0,0,0
2091,中国,26.62,seriesval,0,0,0,0
2092,中国,26.67,seriesval,0,0,0,0
2093,中国,26.72,seriesval,0,0,0,0
2094,中国,26.76,seriesval,0,0,0,0
2095,中国,26.81,seriesval,0,0,0,0
2096,中国,26.86,seriesval,0,0,0,0
2097,中国,26.91,seriesval,0,0,0,0
2098,中国,26.96,seriesval,0,0,0,0
2099,中国,27.01,seriesval,0,0,0,0
2100,中国,27.06,seriesval,0,0,0,0
1870,美国,0.85,seriesval,0,0,0,0
1871,美国,0.85,seriesval,0,0,0,0
1872,美国,1.02,seriesval,0,0,0,0
1873,美国,1.04,seriesval,0,0,0,0
1874,美国,1.04,seriesval,0,0,0,0
1875,美国,1.05,seriesval,0,0,0,0
1876,美国,1.06,seriesval,0,0,0,0
1877,美国,1.08,seriesval,0,0,0,0
1878,美国,1.08,seriesval,0,0,0,0
1879,美国,1.12,seriesval,0,0,0,0
1880,美国,1.15,seriesval,0,0,0,0
1881,美国,1.17,seriesval,0,0,0,0
1882,美国,1.1,seriesval,0,0,0,0
1883,美国,1.11,seriesval,0,0,0,0
1884,美国,1.11,seriesval,0,0,0,0
1885,美国,1.11,seriesval,0,0,0,0
1886,美国,1.12,seriesval,0,0,0,0
1887,美国,1.13,seriesval,0,0,0,0
1888,美国,1.19,seriesval,0,0,0,0
1889,美国,1.15,seriesval,0,0,0,0
1890,美国,1.45,seriesval,0,0,0,0
1891,美国,1.48,seriesval,0,0,0,0
1892,美国,1.53,seriesval,0,0,0,0
1893,美国,1.54,seriesval,0,0,0,0
1894,美国,1.51,seriesval,0,0,0,0
1895,美国,1.58,seriesval,0,0,0,0
1896,美国,1.58,seriesval,0,0,0,0
1897,美国,1.61,seriesval,0,0,0,0
1898,美国,1.66,seriesval,0,0,0,0
1899,美国,1.74,seriesval,0,0,0,0
1900,美国,1.78,seriesval,0,0,0,0
1901,美国,1.73,seriesval,0,0,0,0
1902,美国,1.66,seriesval,0,0,0,0
1903,美国,1.77,seriesval,0,0,0,0
1904,美国,1.73,seriesval,0,0,0,0
1905,美国,1.81,seriesval,0,0,0,0
1906,美国,1.85,seriesval,0,0,0,0
1907,美国,2,seriesval,0,0,0,0
1908,美国,1.84,seriesval,0,0,0,0
1909,美国,1.95,seriesval,0,0,0,0
1910,美国,2.05,seriesval,0,0,0,0
1911,美国,2.03,seriesval,0,0,0,0
1912,美国,2.08,seriesval,0,0,0,0
1913,美国,2.17,seriesval,0,0,0,0
1914,美国,2.04,seriesval,0,0,0,0
1915,美国,2.08,seriesval,0,0,0,0
1916,美国,2.23,seriesval,0,0,0,0
1917,美国,2.38,seriesval,0,0,0,0
1918,美国,2.45,seriesval,0,0,0,0
1919,美国,2.18,seriesval,0,0,0,0
1920,美国,2.42,seriesval,0,0,0,0
1921,美国,2.09,seriesval,0,0,0,0
1922,美国,2.05,seriesval,0,0,0,0
1923,美国,2.49,seriesval,0,0,0,0
1924,美国,2.26,seriesval,0,0,0,0
1925,美国,2.28,seriesval,0,0,0,0
1926,美国,2.41,seriesval,0,0,0,0
1927,美国,2.44,seriesval,0,0,0,0
1928,美国,2.41,seriesval,0,0,0,0
1929,美国,2.54,seriesval,0,0,0,0
1930,美国,2.33,seriesval,0,0,0,0
1931,美国,2.08,seriesval,0,0,0,0
1932,美国,1.84,seriesval,0,0,0,0
1933,美国,1.92,seriesval,0,0,0,0
1934,美国,2,seriesval,0,0,0,0
1935,美国,2.05,seriesval,0,0,0,0
1936,美国,2.26,seriesval,0,0,0,0
1937,美国,2.29,seriesval,0,0,0,0
1938,美国,2,seriesval,0,0,0,0
1939,美国,2.16,seriesval,0,0,0,0
1940,美国,2.36,seriesval,0,0,0,0
1941,美国,2.54,seriesval,0,0,0,0
1942,美国,2.72,seriesval,0,0,0,0
1943,美国,2.78,seriesval,0,0,0,0
1944,美国,2.94,seriesval,0,0,0,0
1945,美国,2.86,seriesval,0,0,0,0
1946,美国,2.78,seriesval,0,0,0,0
1947,美国,3.03,seriesval,0,0,0,0
1948,美国,3.15,seriesval,0,0,0,0
1949,美国,2.74,seriesval,0,0,0,0
1950,美国,3.1,seriesval,0,0,0,0
1951,美国,3.13,seriesval,0,0,0,0
1952,美国,3.02,seriesval,0,0,0,0
1953,美国,3.03,seriesval,0,0,0,0
1954,美国,2.9,seriesval,0,0,0,0
1955,美国,3.13,seriesval,0,0,0,0
1956,美国,3.28,seriesval,0,0,0,0
1957,美国,3.25,seriesval,0,0,0,0
1958,美国,3.18,seriesval,0,0,0,0
1959,美国,3.27,seriesval,0,0,0,0
1960,美国,3.33,seriesval,0,0,0,0
1961,美国,3.34,seriesval,0,0,0,0
1962,美国,3.9,seriesval,0,0,0,0
1963,美国,3.78,seriesval,0,0,0,0
1964,美国,3.71,seriesval,0,0,0,0
1965,美国,3.79,seriesval,0,0,0,0
1966,美国,4.08,seriesval,0,0,0,0
1967,美国,4.24,seriesval,0,0,0,0
1968,美国,5.27,seriesval,0,0,0,0
1969,美国,5.23,seriesval,0,0,0,0
1970,美国,4.72,seriesval,0,0,0,0
1971,美国,4.69,seriesval,0,0,0,0
1972,美国,5.09,seriesval,0,0,0,0
1973,美国,5.4,seriesval,0,0,0,0
1974,美国,5.3,seriesval,0,0,0,0
1975,美国,5.1,seriesval,0,0,0,0
1976,美国,5.47,seriesval,0,0,0,0
1977,美国,5.75,seriesval,0,0,0,0
1978,美国,5.89,seriesval,0,0,0,0
1979,美国,5.86,seriesval,0,0,0,0
1980,美国,5.58,seriesval,0,0,0,0
1981,美国,5.52,seriesval,0,0,0,0
1982,美国,5.42,seriesval,0,0,0,0
1983,美国,5.27,seriesval,0,0,0,0
1984,美国,5.49,seriesval,0,0,0,0
1985,美国,5.49,seriesval,0,0,0,0
1986,美国,5.46,seriesval,0,0,0,0
1987,美国,5.62,seriesval,0,0,0,0
1988,美国,5.9,seriesval,0,0,0,0
1989,美国,5.93,seriesval,0,0,0,0
1990,美国,6.14,seriesval,0,0,0,0
1991,美国,6.19,seriesval,0,0,0,0
1992,美国,6.23,seriesval,0,0,0,0
1993,美国,6.28,seriesval,0,0,0,0
1994,美国,6.32,seriesval,0,0,0,0
1995,美国,6.37,seriesval,0,0,0,0
1996,美国,6.49,seriesval,0,0,0,0
1997,美国,6.61,seriesval,0,0,0,0
1998,美国,6.73,seriesval,0,0,0,0
1999,美国,6.85,seriesval,0,0,0,0
2000,美国,6.97,seriesval,0,0,0,0
2001,美国,7.01,seriesval,0,0,0,0
2002,美国,7.05,seriesval,0,0,0,0
2003,美国,7.1,seriesval,0,0,0,0
2004,美国,7.14,seriesval,0,0,0,0
2005,美国,7.18,seriesval,0,0,0,0
2006,美国,7.09,seriesval,0,0,0,0
2007,美国,6.99,seriesval,0,0,0,0
2008,美国,6.9,seriesval,0,0,0,0
2009,美国,6.8,seriesval,0,0,0,0
2010,美国,6.71,seriesval,0,0,0,0
2011,美国,6.57,seriesval,0,0,0,0
2012,美国,6.34,seriesval,0,0,0,0
2013,美国,6.3,seriesval,0,0,0,0
2014,美国,6.25,seriesval,0,0,0,0
2015,美国,6.2,seriesval,0,0,0,0
2016,美国,6.15,seriesval,0,0,0,0
2017,美国,6.1,seriesval,0,0,0,0
2018,美国,6.06,seriesval,0,0,0,0
2019,美国,6.01,seriesval,0,0,0,0
2020,美国,5.96,seriesval,0,0,0,0
2021,美国,6.06,seriesval,0,0,0,0
2022,美国,6.17,seriesval,0,0,0,0
2023,美国,6.27,seriesval,0,0,0,0
2024,美国,6.37,seriesval,0,0,0,0
2025,美国,6.48,seriesval,0,0,0,0
2026,美国,6.58,seriesval,0,0,0,0
2027,美国,6.68,seriesval,0,0,0,0
2028,美国,6.79,seriesval,0,0,0,0
2029,美国,6.89,seriesval,0,0,0,0
2030,美国,7,seriesval,0,0,0,0
2031,美国,7.02,seriesval,0,0,0,0
2032,美国,7.05,seriesval,0,0,0,0
2033,美国,7.07,seriesval,0,0,0,0
2034,美国,7.1,seriesval,0,0,0,0
2035,美国,7.12,seriesval,0,0,0,0
2036,美国,7.15,seriesval,0,0,0,0
2037,美国,7.17,seriesval,0,0,0,0
2038,美国,7.2,seriesval,0,0,0,0
2039,美国,7.22,seriesval,0,0,0,0
2040,美国,7.25,seriesval,0,0,0,0
2041,美国,7.27,seriesval,0,0,0,0
2042,美国,7.3,seriesval,0,0,0,0
2043,美国,7.32,seriesval,0,0,0,0
2044,美国,7.35,seriesval,0,0,0,0
2045,美国,7.37,seriesval,0,0,0,0
2046,美国,7.4,seriesval,0,0,0,0
2047,美国,7.42,seriesval,0,0,0,0
2048,美国,7.45,seriesval,0,0,0,0
2049,美国,7.47,seriesval,0,0,0,0
2050,美国,7.5,seriesval,0,0,0,0
2051,美国,7.5,seriesval,0,0,0,0
2052,美国,7.5,seriesval,0,0,0,0
2053,美国,7.5,seriesval,0,0,0,0
2054,美国,7.5,seriesval,0,0,0,0
2055,美国,7.5,seriesval,0,0,0,0
2056,美国,7.5,seriesval,0,0,0,0
2057,美国,7.5,seriesval,0,0,0,0
2058,美国,7.5,seriesval,0,0,0,0
2059,美国,7.5,seriesval,0,0,0,0
2060,美国,7.5,seriesval,0,0,0,0
2061,美国,7.5,seriesval,0,0,0,0
2062,美国,7.5,seriesval,0,0,0,0
2063,美国,7.5,seriesval,0,0,0,0
2064,美国,7.5,seriesval,0,0,0,0
2065,美国,7.5,seriesval,0,0,0,0
2066,美国,7.5,seriesval,0,0,0,0
2067,美国,7.5,seriesval,0,0,0,0
2068,美国,7.5,seriesval,0,0,0,0
2069,美国,7.5,seriesval,0,0,0,0
2070,美国,7.5,seriesval,0,0,0,0
2071,美国,7.5,seriesval,0,0,0,0
2072,美国,7.5,seriesval,0,0,0,0
2073,美国,7.5,seriesval,0,0,0,0
2074,美国,7.5,seriesval,0,0,0,0
2075,美国,7.5,seriesval,0,0,0,0
2076,美国,7.5,seriesval,0,0,0,0
2077,美国,7.5,seriesval,0,0,0,0
2078,美国,7.5,seriesval,0,0,0,0
2079,美国,7.5,seriesval,0,0,0,0
2080,美国,7.5,seriesval,0,0,0,0
2081,美国,7.5,seriesval,0,0,0,0
2082,美国,7.5,seriesval,0,0,0,0
2083,美国,7.5,seriesval,0,0,0,0
2084,美国,7.5,seriesval,0,0,0,0
2085,美国,7.5,seriesval,0,0,0,0
2086,美国,7.5,seriesval,0,0,0,0
2087,美国,7.5,seriesval,0,0,0,0
2088,美国,7.5,seriesval,0,0,0,0
2089,美国,7.5,seriesval,0,0,0,0
2090,美国,7.5,seriesval,0,0,0,0
2091,美国,7.5,seriesval,0,0,0,0
2092,美国,7.5,seriesval,0,0,0,0
2093,美国,7.5,seriesval,0,0,0,0
2094,美国,7.5,seriesval,0,0,0,0
2095,美国,7.5,seriesval,0,0,0,0
2096,美国,7.5,seriesval,0,0,0,0
2097,美国,7.5,seriesval,0,0,0,0
2098,美国,7.5,seriesval,0,0,0,0
2099,美国,7.5,seriesval,0,0,0,0
2100,美国,7.5,seriesval,0,0,0,0
1870,欧盟,0.62,seriesval,0,0,0,0
1871,欧盟,0.64,seriesval,0,0,0,0
1872,欧盟,0.67,seriesval,0,0,0,0
1873,欧盟,0.7,seriesval,0,0,0,0
1874,欧盟,0.66,seriesval,0,0,0,0
1875,欧盟,0.7,seriesval,0,0,0,0
1876,欧盟,0.71,seriesval,0,0,0,0
1877,欧盟,0.7,seriesval,0,0,0,0
1878,欧盟,0.7,seriesval,0,0,0,0
1879,欧盟,0.72,seriesval,0,0,0,0
1880,欧盟,0.78,seriesval,0,0,0,0
1881,欧盟,0.8,seriesval,0,0,0,0
1882,欧盟,0.82,seriesval,0,0,0,0
1883,欧盟,0.85,seriesval,0,0,0,0
1884,欧盟,0.84,seriesval,0,0,0,0
1885,欧盟,0.84,seriesval,0,0,0,0
1886,欧盟,0.84,seriesval,0,0,0,0
1887,欧盟,0.86,seriesval,0,0,0,0
1888,欧盟,0.9,seriesval,0,0,0,0
1889,欧盟,0.93,seriesval,0,0,0,0
1890,欧盟,1.26,seriesval,0,0,0,0
1891,欧盟,1.29,seriesval,0,0,0,0
1892,欧盟,1.29,seriesval,0,0,0,0
1893,欧盟,1.27,seriesval,0,0,0,0
1894,欧盟,1.35,seriesval,0,0,0,0
1895,欧盟,1.38,seriesval,0,0,0,0
1896,欧盟,1.43,seriesval,0,0,0,0
1897,欧盟,1.48,seriesval,0,0,0,0
1898,欧盟,1.52,seriesval,0,0,0,0
1899,欧盟,1.6,seriesval,0,0,0,0
1900,欧盟,1.66,seriesval,0,0,0,0
1901,欧盟,1.69,seriesval,0,0,0,0
1902,欧盟,1.71,seriesval,0,0,0,0
1903,欧盟,1.76,seriesval,0,0,0,0
1904,欧盟,1.78,seriesval,0,0,0,0
1905,欧盟,1.82,seriesval,0,0,0,0
1906,欧盟,1.86,seriesval,0,0,0,0
1907,欧盟,1.98,seriesval,0,0,0,0
1908,欧盟,2.01,seriesval,0,0,0,0
1909,欧盟,2.02,seriesval,0,0,0,0
1910,欧盟,2.04,seriesval,0,0,0,0
1911,欧盟,2.08,seriesval,0,0,0,0
1912,欧盟,2.12,seriesval,0,0,0,0
1913,欧盟,2.23,seriesval,0,0,0,0
1914,欧盟,2.06,seriesval,0,0,0,0
1915,欧盟,2,seriesval,0,0,0,0
1916,欧盟,2.06,seriesval,0,0,0,0
1917,欧盟,2.05,seriesval,0,0,0,0
1918,欧盟,1.97,seriesval,0,0,0,0
1919,欧盟,1.77,seriesval,0,0,0,0
1920,欧盟,1.99,seriesval,0,0,0,0
1921,欧盟,1.87,seriesval,0,0,0,0
1922,欧盟,2.03,seriesval,0,0,0,0
1923,欧盟,2.01,seriesval,0,0,0,0
1924,欧盟,2.18,seriesval,0,0,0,0
1925,欧盟,2.17,seriesval,0,0,0,0
1926,欧盟,1.95,seriesval,0,0,0,0
1927,欧盟,2.3,seriesval,0,0,0,0
1928,欧盟,2.3,seriesval,0,0,0,0
1929,欧盟,2.44,seriesval,0,0,0,0
1930,欧盟,2.35,seriesval,0,0,0,0
1931,欧盟,2.23,seriesval,0,0,0,0
1932,欧盟,2.1,seriesval,0,0,0,0
1933,欧盟,2.13,seriesval,0,0,0,0
1934,欧盟,2.22,seriesval,0,0,0,0
1935,欧盟,2.26,seriesval,0,0,0,0
1936,欧盟,2.32,seriesval,0,0,0,0
1937,欧盟,2.46,seriesval,0,0,0,0
1938,欧盟,2.44,seriesval,0,0,0,0
1939,欧盟,2.46,seriesval,0,0,0,0
1940,欧盟,2.57,seriesval,0,0,0,0
1941,欧盟,2.56,seriesval,0,0,0,0
1942,欧盟,2.58,seriesval,0,0,0,0
1943,欧盟,2.59,seriesval,0,0,0,0
1944,欧盟,2.44,seriesval,0,0,0,0
1945,欧盟,1.9,seriesval,0,0,0,0
1946,欧盟,2.26,seriesval,0,0,0,0
1947,欧盟,2.42,seriesval,0,0,0,0
1948,欧盟,2.54,seriesval,0,0,0,0
1949,欧盟,2.66,seriesval,0,0,0,0
1950,欧盟,2.71,seriesval,0,0,0,0
1951,欧盟,2.83,seriesval,0,0,0,0
1952,欧盟,2.86,seriesval,0,0,0,0
1953,欧盟,2.91,seriesval,0,0,0,0
1954,欧盟,3.02,seriesval,0,0,0,0
1955,欧盟,3.18,seriesval,0,0,0,0
1956,欧盟,3.31,seriesval,0,0,0,0
1957,欧盟,3.39,seriesval,0,0,0,0
1958,欧盟,3.38,seriesval,0,0,0,0
1959,欧盟,3.44,seriesval,0,0,0,0
1960,欧盟,3.63,seriesval,0,0,0,0
1961,欧盟,3.71,seriesval,0,0,0,0
1962,欧盟,3.9,seriesval,0,0,0,0
1963,欧盟,4.06,seriesval,0,0,0,0
1964,欧盟,4.19,seriesval,0,0,0,0
1965,欧盟,4.34,seriesval,0,0,0,0
1966,欧盟,4.33,seriesval,0,0,0,0
1967,欧盟,4.41,seriesval,0,0,0,0
1968,欧盟,4.6,seriesval,0,0,0,0
1969,欧盟,4.88,seriesval,0,0,0,0
1970,欧盟,5.39,seriesval,0,0,0,0
1971,欧盟,5.51,seriesval,0,0,0,0
1972,欧盟,5.53,seriesval,0,0,0,0
1973,欧盟,5.78,seriesval,0,0,0,0
1974,欧盟,5.72,seriesval,0,0,0,0
1975,欧盟,5.6,seriesval,0,0,0,0
1976,欧盟,5.91,seriesval,0,0,0,0
1977,欧盟,5.88,seriesval,0,0,0,0
1978,欧盟,6.04,seriesval,0,0,0,0
1979,欧盟,6.22,seriesval,0,0,0,0
1980,欧盟,6.05,seriesval,0,0,0,0
1981,欧盟,5.84,seriesval,0,0,0,0
1982,欧盟,5.71,seriesval,0,0,0,0
1983,欧盟,5.7,seriesval,0,0,0,0
1984,欧盟,5.7,seriesval,0,0,0,0
1985,欧盟,5.75,seriesval,0,0,0,0
1986,欧盟,5.78,seriesval,0,0,0,0
1987,欧盟,5.79,seriesval,0,0,0,0
1988,欧盟,5.88,seriesval,0,0,0,0
1989,欧盟,5.84,seriesval,0,0,0,0
1990,欧盟,5.64,seriesval,0,0,0,0
1991,欧盟,5.57,seriesval,0,0,0,0
1992,欧盟,5.5,seriesval,0,0,0,0
1993,欧盟,5.43,seriesval,0,0,0,0
1994,欧盟,5.36,seriesval,0,0,0,0
1995,欧盟,5.29,seriesval,0,0,0,0
1996,欧盟,5.25,seriesval,0,0,0,0
1997,欧盟,5.21,seriesval,0,0,0,0
1998,欧盟,5.18,seriesval,0,0,0,0
1999,欧盟,5.14,seriesval,0,0,0,0
2000,欧盟,5.1,seriesval,0,0,0,0
2001,欧盟,5.11,seriesval,0,0,0,0
2002,欧盟,5.12,seriesval,0,0,0,0
